respondent_id,cluster
3290934328,2
3290944858,2
3290374523,2
3290380140,2
3291394022,2
3291395512,2
3291401326,2
3289633176,2
3289644365,2
3291312980,2
3289798759,2
3289798968,2
3289799581,2
3290325811,2
3290340804,2
3290344571,2
3290347473,2
3289725605,2
3289727014,2
3289730973,2
3289745063,2
3289757163,2
3289680108,2
3291233218,2
3291271932,2
3289878528,2
3289888015,2
3290972257,2
3290917153,2
3290296317,2
3290320007,2
3289757385,2
3289844139,2
3289857817,2
3289861464,2
3289865550,2
3291063226,2
3289809469,2
3289815685,2
3289822005,2
3289829982,2
3289835282,2
3289902920,2
3289905044,2
3289909917,2
3289866531,2
3290257673,2
3290266084,2
3290269777,2
3290283817,2
3290292697,2
3290961497,2
3291075212,2
3291121359,2
3291159863,2
3289868197,2
3289874408,2
3289988393,2
3290191566,2
3290196296,2
3290206907,2
3290209744,2
3290210801,2
3290213089,2
3290216970,2
3290229579,2
3290149698,2
3291028446,2
3291034202,2
3291045360,2
3289923980,2
3289924943,2
3289896565,2
3290058506,2
3290061815,2
3290994001,2
3289996025,2
3290010419,2
3290142232,2
3290173176,2
3290176563,2
3290109779,2
3289943405,2
3289949516,2
3289951011,2
3289955364,2
3289901633,2
3289973506,2
3289980534,2
3292257520,2
3288505737,2
3288505925,2
3288506275,2
3290749764,2
3290756394,2
3290759512,2
3290760722,2
3290773277,2
3290810177,2
3288477753,2
3288482581,2
3288482717,2
3292210606,2
3292214307,2
3292218251,2
3288417782,2
3288415166,2
3288413441,2
3292731220,2
3292663732,2
3288372923,2
3292635062,3
3292637870,3
3292879538,3
3292189580,3
3288416959,3
3288417641,3
3288421819,3
3288423088,3
3288425859,3
3288391812,3
3288395255,3
3288396374,3
3288402592,3
3288402717,3
3288410073,3
3292384040,3
3292596911,3
3290094384,3
3290095220,3
3290097268,3
3290097546,3
3290099797,3
3290103593,3
3290116629,3
3290125357,3
3290127670,3
3290128468,3
3290128978,3
3290137793,3
3290139192,3
3291001879,3
3291006540,3
3291009055,3
3291014757,3
3291015347,3
3291018581,3
3290948002,3
3290068892,3
3290070395,3
3290071379,3
3290076587,3
3290081040,3
3290081504,3
3290082468,3
3290083352,3
3290038794,3
3290047689,3
3290049231,3
3290049932,3
3290050695,3
3290062936,3
3289997196,3
3290987996,3
3290992371,3
3290998457,3
3289993284,3
3289996800,3
3289920249,3
3289997713,3
3290002601,3
3290008538,3
3290013239,3
3290014606,3
3290017901,3
3290018381,3
3290019779,3
3290019869,3
3289963393,3
3290034196,3
3290157529,3
3290159056,3
3290159455,3
3290164098,3
3290167473,3
3290174048,3
3290174629,3
3290176915,3
3290180442,3
3290182531,3
3290184813,3
3290185244,3
3289956408,3
3289962614,3
3289962839,3
3289971452,3
3289972382,3
3289987865,3
3289989311,3
3289991708,3
3290193368,3
3290201752,3
3290203063,3
3290209773,3
3290225128,3
3290227264,3
3290248279,3
3291023456,3
3291024297,3
3291029281,3
3291032418,3
3291033668,3
3291037640,3
3290984063,3
3289927404,3
3289933137,3
3289942520,3
